,year,site,plot,ksat_1,ksat_2,ksat_3,ksat_4,ksat_5,ksat_avg,site_type,land_use
224,2021,52,164,13.13985576,19.73556198,12.86173414,NA,NA,15.24571729,Community Garden/Urban Farm,Garden_food_producing_in_ground
225,2021,53,165,9.758906814,22.25837349,17.28869228,NA,NA,16.43532419,Community Garden/Urban Farm,Garden_food_producing_in_ground
226,2021,53,166,9.424079427,4.486183805,9.927891018,NA,NA,7.946051417,Community Garden/Urban Farm,Garden_food_producing_in_ground
227,2021,53,167,13.59276306,10.3216108,10.3216108,NA,NA,11.41199489,Community Garden/Urban Farm,Garden_food_producing_in_ground
228,2021,54,168,5.576518179,9.199696583,4.936422557,NA,NA,6.570879106,Community Garden/Urban Farm,Garden_food_producing_in_ground
229,2021,54,169,20.18782712,6.731485305,7.870615343,NA,NA,11.59664259,Community Garden/Urban Farm,Garden_food_producing_in_ground
230,2021,54,170,6.796381531,4.530921021,9.317458671,NA,NA,6.881587074,Community Garden/Urban Farm,Garden_food_producing_in_ground
231,2021,55,171,23.81128327,8.414356631,4.295029972,NA,NA,12.17355662,Community Garden/Urban Farm,Garden_food_producing_in_ground
232,2021,55,172,8.282185485,1.811728075,1.617614353,NA,NA,3.903842638,Community Garden/Urban Farm,Garden_food_producing_in_ground
233,2021,55,173,1.084779645,6.127420476,3.991010505,NA,NA,3.734403542,Community Garden/Urban Farm,Garden_food_producing_in_ground
234,2021,56,174,11.34570431,19.70978364,13.79684855,NA,NA,14.95077883,Community Garden/Urban Farm,Garden_food_producing_in_ground
235,2021,56,175,5.762897426,6.861562094,7.923983961,NA,NA,6.84948116,Community Garden/Urban Farm,Garden_food_producing_in_ground
236,2021,56,176,6.12307815,7.883913455,8.28416505,NA,NA,7.430385552,Community Garden/Urban Farm,Garden_food_producing_in_ground
237,2021,57,177,38.1055817,14.7526429,23.77195188,NA,NA,25.54339216,Community Garden/Urban Farm,Garden_food_producing_in_ground
238,2021,57,178,25.21766252,10.29288701,4.598949516,NA,NA,13.36983302,Community Garden/Urban Farm,Garden_food_producing_in_ground
239,2021,57,179,7.764548893,4.712039713,8.713309655,NA,NA,7.06329942,Community Garden/Urban Farm,Garden_food_producing_in_ground
240,2021,58,180,5.582806882,1.890950718,21.09198729,NA,NA,9.521914963,Community Garden/Urban Farm,Garden_food_producing_in_ground
241,2021,58,181,3.141359809,80.58286814,34.16401513,NA,NA,39.29608103,Community Garden/Urban Farm,Garden_food_producing_in_ground
242,2021,58,182,16.56437097,12.5471659,42.40835742,NA,NA,23.83996476,Community Garden/Urban Farm,Garden_food_producing_in_ground
243,2021,59,183,2.916976965,2.78825909,0.755153503,NA,NA,2.153463186,Community Garden/Urban Farm,Garden_food_producing_in_ground
244,2021,59,184,5.718925778,9.238123432,5.1608054,NA,NA,6.705951537,Community Garden/Urban Farm,Garden_food_producing_in_ground
245,2021,59,185,4.357276783,6.273582952,1.296808566,NA,NA,3.975889434,Community Garden/Urban Farm,Garden_food_producing_in_ground
246,2021,60,186,7.469617342,20.19445591,18.16295848,NA,NA,15.27567724,Community Garden/Urban Farm,Garden_food_producing_in_ground
